index,車両本体価格(万円),走行距離(km),車歴,修復歴,保証,ハイブリッド,車検,色,都道府県,店舗
1631,149.9,54000,9,0,1,0,1,黒,兵庫県,リバティ 神戸店
1632,169.8,12000,10,0,1,1,1,真珠,千葉県,ガリバー 千葉ニュータウン店
1633,349.9,7000,1,0,1,1,1,黒,静岡県,ガリバー 磐田店
1634,169.9,26000,9,0,1,0,1,黒Ｍ,香川県,ネクステージ 丸亀店
1635,332.5,9000,1,0,1,1,1,灰II,岡山県,ＷＥＣＡＲＳ（ウィーカーズ） 倉敷水島店
1636,164.8,57000,11,0,1,1,1,白真珠,大阪府,カーチス南港
1637,202.9,47000,9,0,1,1,1,黒,岐阜県,ネクステージ 岐阜東バイパス店
1638,185.4,80000,8,0,1,1,1,黒Ｍ,広島県,広島トヨペット 呉店
1639,197.8,39000,8,0,1,0,1,真珠,京都府,ＷＥＣＡＲＳ（ウィーカーズ） 京都伏見店
1640,326.9,5,1,0,1,1,1,真珠Ｍ,大阪府,リバティ 松原天美店
1641,242.9,45000,6,0,1,1,1,真珠白,佐賀県,ネクステージ 南佐賀店
1642,204.9,28000,10,0,1,1,1,真珠白,長崎県,ネクステージ 長崎店
1643,340.9,20,1,0,1,1,1,薄茶,福岡県,ケイカフェ やはた店
1644,139.9,34000,9,1,1,0,1,白真珠,大阪府,ＣＯＺＹ　ＳＰＡＣＥ　ＣＡＲ
1645,148,77000,10,0,1,0,1,銀,滋賀県,ＷＥＣＡＲＳ（ウィーカーズ） 草津店
1646,313.9,6,0,0,1,1,1,薄茶,熊本県,リバティ ドリーム熊本インター店
1647,323.7,12000,3,0,1,1,1,緑,茨城県,茨城トヨペット株式会社 Ｕ－Ｃａｒセンター土浦高津店
1648,329.8,11000,3,0,1,1,1,白真珠,兵庫県,福祉車両専門店　カーブティッククラブ 昆陽店
1649,224.8,34000,7,0,1,1,1,茶黒II,宮城県,ガリバー 南仙台店
1650,202.8,7000,8,0,1,0,1,銀,埼玉県,ＷＥＣＡＲＳ（ウィーカーズ） 熊谷店
1651,230.8,24000,7,0,1,1,1,白真珠,沖縄県,グッドスピード ＭＥＧＡ　ＳＵＶ南風原店
1652,197.8,24000,7,0,1,0,0,薄茶II,千葉県,ＷＥＣＡＲＳ（ウィーカーズ） 酒々井店
1653,182.8,77000,8,0,1,1,1,真珠,和歌山県,ＷＥＣＡＲＳ（ウィーカーズ） 和歌山店
1654,149.9,50000,10,0,1,0,1,白真珠,兵庫県,リバティ 神戸店
1655,256.9,22000,6,0,1,0,1,茶黒,北海道,ＶＥＲＮＯ　ＣＡＲＬＡ札幌北広島店 （ベルノカーラ札幌北広島店）
1656,179.5,27000,11,0,1,1,1,白真珠,神奈川県,ガリバー 平塚店
1657,179.9,12000,9,0,1,0,1,真珠白,千葉県,ネクステージ 幕張店
1658,159.9,86000,10,0,1,0,1,真珠白,北海道,ネクステージ 函館北斗店
1659,287.5,9000,4,0,1,0,1,真珠,大阪府,ＷＥＣＡＲＳ（ウィーカーズ） 高槻店
1660,227.9,17000,7,0,1,0,1,真珠白,茨城県,ネクステージ 水戸南店
1661,234.9,7000,7,0,1,0,1,黒,静岡県,ネクステージ 東静岡店
1662,189.8,26000,9,0,1,0,1,黒Ｍ,島根県,ガリバー 出雲店
1663,240.6,31000,6,0,1,0,1,黒Ｍ,北海道,ＶＥＲＮＯ　ＣＡＲＬＡ札幌北広島店 （ベルノカーラ札幌北広島店）
1664,159.8,43000,9,0,1,0,1,白真珠,千葉県,ガリバーＷＯＷ！ＴＯＷＮ 幕張
1665,213.8,40000,7,0,1,1,1,黒,愛知県,グッドスピード 小牧ミニバン専門店
