index,車両本体価格(万円),走行距離(km),車歴,修復歴,保証,ハイブリッド,車検,都道府県
1165,288.9,43000,3,0,1,1,1,奈良県
1166,319.9,5,1,0,1,1,1,滋賀県
1167,309.9,22000,3,0,1,1,1,宮城県
1168,337.1,28000,2,0,1,1,1,福島県
1169,296.9,16000,3,0,1,1,1,兵庫県
1170,225.8,18000,6,0,1,1,1,長野県
1171,296.6,19000,3,0,1,1,1,滋賀県
1172,300.1,22000,3,0,1,1,1,宮崎県
1173,209.7,51000,5,0,1,1,1,大阪府
1174,312.9,7000,3,0,1,1,1,茨城県
1175,318.8,43000,4,0,1,1,1,石川県
1176,297.5,28000,3,0,1,1,0,栃木県
1177,203.2,39000,6,0,1,0,1,愛知県
1178,151.5,50000,9,0,1,0,1,宮城県
1179,277.9,36000,4,0,1,1,1,岡山県
1180,147.1,61000,9,0,1,1,1,愛知県
1181,189.9,27000,8,0,1,0,1,長野県
1182,192,65000,7,0,1,1,1,福井県
1183,267.5,9,1,0,1,1,1,京都府
1184,298.8,17000,4,0,1,1,1,愛知県
1185,194.8,32000,8,0,1,0,1,埼玉県
1186,346.9,172,1,0,1,1,1,奈良県
1187,269.8,57000,4,0,1,1,1,兵庫県
1188,301.8,11000,3,0,1,1,1,埼玉県
1189,374.9,11,1,0,1,1,1,千葉県
1190,135.8,106000,8,0,1,1,1,大阪府
1191,319.9,9000,1,0,1,1,1,愛知県
1192,217.9,42000,7,0,1,1,1,富山県
1193,104.9,24000,11,0,1,0,1,京都府
1194,322.9,14000,1,0,1,1,1,熊本県
1195,174.9,62000,7,0,1,0,1,長野県
1196,265.1,28000,3,0,1,0,1,広島県
1197,189.8,51000,6,0,1,0,1,千葉県
1198,282.9,16000,3,0,1,0,1,愛知県
1199,307.6,12000,2,0,1,1,0,北海道
1200,226.7,46000,5,0,1,1,1,大分県
1201,199.9,33000,7,0,1,0,1,茨城県
1202,264.9,35000,3,0,1,0,1,富山県
1203,132.1,77000,10,0,1,1,1,沖縄県
1204,324.9,21000,3,0,1,1,1,沖縄県
1205,277.9,36000,3,0,1,1,1,兵庫県
1206,178.5,61000,7,0,1,0,1,北海道
1207,187.8,44000,7,0,1,0,1,長崎県
1208,162.9,91000,7,0,1,1,1,山口県
1209,296.9,27000,2,0,1,1,1,福岡県
1210,307.9,12000,3,0,1,1,1,千葉県
1211,200.3,62000,5,0,1,1,1,愛知県
1212,344.9,6000,1,0,1,1,1,沖縄県
1213,186,53000,5,0,1,0,1,愛知県
1214,301.5,5000,3,0,1,1,1,群馬県
1215,139.9,47000,11,0,1,1,1,福井県
1216,183.8,51000,7,0,1,1,1,愛知県
